odds_band,total_bets,settled_bets,win_rate,loss_rate,push_rate,net_profit,total_stake,roi,yield_pct,avg_stake,avg_odds,profit_factor,expectancy,avg_clv,max_drawdown,max_green_streak,max_red_streak,bankroll_volatility,sharpe_like
3.01+,54,54,0.2222,0.7778,0.0,-6.81,3642.57,-0.0007,-0.0019,67.46,4.5294,0.9976,-0.1261,0.0624,0.1764,3,26,0.6412,-0.0116
nan,3,3,0.0,1.0,0.0,-225.46,225.46,-0.0225,-1.0,75.15,12.9467,0.0,-75.1533,0.0538,0.0178,0,3,0.0443,-42.7042
2.01-2.50,131,131,0.4427,0.5267,0.0305,-337.26,8985.46,-0.0337,-0.0375,68.59,2.1919,0.9305,-2.6556,0.0631,0.0791,7,9,0.2903,-0.7912
2.51-3.00,31,31,0.2581,0.6774,0.0645,-624.59,2034.27,-0.0625,-0.307,65.62,2.7048,0.5558,-21.5376,0.0616,0.113,3,7,0.2293,-4.038
1.51-2.00,316,316,0.5032,0.4747,0.0222,-1595.62,23255.3,-0.1596,-0.0686,73.59,1.7848,0.853,-5.1638,0.0377,0.197,7,9,0.3711,-2.2573
1.01-1.50,341,341,0.607,0.3402,0.0528,-5159.82,26174.73,-0.516,-0.1971,76.76,1.2694,0.4456,-15.9747,0.0315,0.5237,9,5,0.2861,-8.7398
