market,total_bets,settled_bets,win_rate,loss_rate,push_rate,net_profit,total_stake,roi,yield_pct,avg_stake,avg_odds,profit_factor,expectancy,avg_clv,max_drawdown,max_green_streak,max_red_streak,bankroll_volatility,sharpe_like
OVER_2_5,214,214,0.5093,0.4907,0.0,-210.4,16076.95,-0.021,-0.0131,75.13,1.936,0.9733,-0.9832,0.0364,0.1563,9,12,0.3513,-0.343
DNB_HOME,142,142,0.4718,0.3099,0.2183,-597.33,9698.69,-0.0597,-0.0616,68.3,1.7792,0.8024,-5.3814,0.0532,0.0755,4,3,0.1939,-1.8936
MONEYLINE_HOME,277,277,0.5054,0.4946,0.0,-1149.13,18969.27,-0.1149,-0.0606,68.48,2.3738,0.8771,-4.1485,0.0507,0.3023,10,12,0.494,-1.1724
BTTS_YES,243,243,0.5267,0.4733,0.0,-5992.7,19572.88,-0.5993,-0.3062,80.55,1.3449,0.3533,-24.6613,0.0287,0.6016,6,8,0.2853,-11.5082
