league,total_bets,settled_bets,win_rate,loss_rate,push_rate,net_profit,total_stake,roi,yield_pct,avg_stake,avg_odds,profit_factor,expectancy,avg_clv,max_drawdown,max_green_streak,max_red_streak,bankroll_volatility,sharpe_like
Premier League,199,199,0.5829,0.3769,0.0402,-288.46,14224.64,-0.0288,-0.0203,71.48,1.78,0.9495,-1.5103,0.0435,0.1509,15,5,0.4923,-0.5469
Serie A,220,220,0.5,0.4682,0.0318,-789.0,16029.99,-0.0789,-0.0492,72.86,2.0131,0.8963,-3.7042,0.041,0.2451,11,13,0.6012,-0.9186
Bundesliga,209,209,0.5407,0.4211,0.0383,-1896.81,16040.39,-0.1897,-0.1183,76.75,1.8358,0.7097,-9.4369,0.0383,0.2098,7,6,0.4226,-3.5347
La Liga,248,248,0.4234,0.5444,0.0323,-4975.29,18022.77,-0.4975,-0.2761,72.67,1.8971,0.4851,-20.7304,0.0431,0.4873,11,8,0.4262,-8.1719
