settled_date,daily_pnl,bankroll,drawdown
2024-08-15,-198.62,9801.38,0.0
2024-08-16,4.75,9806.13,0.0
2024-08-17,-560.63,9245.5,-0.057171381574586455
2024-08-18,1635.83,10881.33,0.0
2024-08-19,-298.51,10582.82,-0.027433227372021585
2024-08-23,-165.38,10417.44,-0.042631737113018264
2024-08-24,-927.07,9490.369999999999,-0.1278299619623705
2024-08-25,324.08000000000004,9814.45,-0.09804683802439584
2024-08-26,12.93,9827.38,-0.09685856416449101
2024-08-27,-64.94,9762.44,-0.10282658461787297
2024-08-28,77.74,9840.18,-0.0956822373735563
2024-08-30,125.50999999999999,9965.69,-0.0841478017852596
2024-08-31,891.78,10857.47,-0.0021927466587264854
2024-09-01,-233.57999999999998,10623.89,-0.02365887258267152
2024-09-14,-1247.61,9376.28,-0.1383148934918801
2024-09-15,-289.08000000000004,9087.2,-0.16488149886089287
2024-09-16,170.45999999999998,9257.66,-0.14921613442474402
2024-09-17,9.4,9267.06,-0.14835226943765145
2024-09-18,173.86,9440.92,-0.13237444319766056
2024-09-20,-303.8,9137.119999999999,-0.16029382437624817
2024-09-21,-1199.77,7937.35,-0.27055332390433884
2024-09-22,860.6999999999999,8798.05,-0.19145453726704376
2024-09-24,181.71,8979.76,-0.17475529186229988
2024-09-25,-410.2,8569.56,-0.2124528894905311
2024-09-26,-294.12,8275.439999999999,-0.2394826735334744
2024-09-27,30.980000000000004,8306.42,-0.23663559509729049
2024-09-28,-394.42,7912.0,-0.27288300235357255
2024-09-29,-367.78,7544.219999999999,-0.3066821794762221
2024-09-30,66.35,7610.57,-0.3005845792747762
2024-10-04,143.38,7753.949999999999,-0.28740788120569827
2024-10-05,45.39999999999996,7799.349999999999,-0.2832355971191022
2024-10-06,-1017.49,6781.86,-0.37674346794004043
2024-10-18,-15.969999999999985,6765.889999999999,-0.3782111194127924
2024-10-19,-904.14,5861.75,-0.4613020650968218
2024-10-20,-197.44,5664.31,-0.47944690584698746
2024-10-21,67.69,5732.0,-0.4732261589346155
2024-10-25,-536.94,5195.0599999999995,-0.5225712298037097
2024-10-26,-778.12,4416.94,-0.5940808706288662
2024-10-27,485.86000000000007,4902.799999999999,-0.5494300788598453
2024-10-29,-114.89999999999999,4787.9,-0.5599894498190938
2024-10-30,443.23,5231.129999999999,-0.5192563776670683
2024-10-31,-211.97,5019.159999999999,-0.5387365331260059
2024-11-01,-245.19,4773.969999999999,-0.5612696242095406
2024-11-02,-499.05,4274.919999999999,-0.6071325839764073
2024-11-03,-925.66,3349.2599999999993,-0.6922012290776955
2024-11-04,-156.18,3193.079999999999,-0.7065542539377081
2024-11-08,-242.89,2950.1899999999987,-0.7288759738009969
2024-11-09,-990.3100000000001,1959.8799999999983,-0.81988598820181
2024-11-10,59.49000000000001,2019.369999999998,-0.8144188256398806
2024-11-22,62.36,2081.7299999999977,-0.8086879085552963
2024-11-23,837.26,2918.989999999998,-0.7317432703539
2024-11-24,-336.84000000000003,2582.149999999998,-0.7626990450615874
2024-11-25,-54.7,2527.449999999998,-0.7677260040822218
2024-11-29,23.49,2550.939999999998,-0.7655672606197957
2024-11-30,-122.67999999999999,2428.2599999999975,-0.7768416177066593
2024-12-06,69.57000000000001,2497.829999999997,-0.7704480977968688
2024-12-07,-437.22,2060.609999999997,-0.8106288477603384
2024-12-08,-10.170000000000002,2050.439999999997,-0.8115634761559481
